"Duration","Start.date","End.date","Start.Station","End.Station","Bike.","Subscription.Type","newDate","count","monthYear"
"0h 6m 57s","12/15/2012 12:52","12/15/2012 12:59","18th & M St NW","15th & K St NW","W01018","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 5m 3s","12/15/2012 12:52","12/15/2012 12:57","16th & Harvard St NW","17th & Corcoran St NW","W00722","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 5m 44s","12/15/2012 12:52","12/15/2012 12:58","16th & Harvard St NW","17th & Corcoran St NW","W00433","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 7m 43s","12/15/2012 12:52","12/15/2012 13:00","18th & M St NW","24th & N St NW","W20166","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 29m 15s","12/15/2012 12:52","12/15/2012 13:21","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","Massachusetts Ave & Dupont Circle NW","W01107","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"3h 47m 4s","12/15/2012 12:54","12/15/2012 16:41","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","W00838","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 8m 44s","12/15/2012 12:52","12/15/2012 13:01","Adams Mill & Columbia Rd NW","Massachusetts Ave & Dupont Circle NW","W20963","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 2m 36s","12/15/2012 12:52","12/15/2012 12:54","25th St & Pennsylvania Ave NW","M St & Pennsylvania Ave NW","W01046","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 4m 11s","12/15/2012 12:52","12/15/2012 12:56","6th & H St NE","Columbus Circle / Union Station","W01419","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 49m 27s","12/15/2012 12:52","12/15/2012 13:42","15th & P St NW","4th St & Massachusetts Ave NW","W00789","Casual",2012-12-15 12:00:00,1,"2012-12"
"1h 24m 26s","12/15/2012 12:52","12/15/2012 14:17","USDA / 12th & Independence Ave SW","USDA / 12th & Independence Ave SW","W00602","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 17m 16s","12/15/2012 12:51","12/15/2012 13:08","Connecticut Ave & Newark St NW / Cleveland Park","15th & P St NW","W20189","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 7m 59s","12/15/2012 12:51","12/15/2012 12:59","10th & U St NW","20th St & Florida Ave NW","W00464","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 7m 24s","12/15/2012 12:51","12/15/2012 12:58","14th & G St NW","5th & F St NW","W01158","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 2m 27s","12/15/2012 12:51","12/15/2012 12:53","17th & Rhode Island Ave NW","18th & M St NW","W00665","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 9m 22s","12/15/2012 12:51","12/15/2012 13:00","16th & Harvard St NW","14th St & Spring Rd NW","W00182","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 5m 7s","12/15/2012 12:51","12/15/2012 12:56","California St & Florida Ave NW","17th & Corcoran St NW","W00256","Subscriber",2012-12-15 12:00:00,1,"2012-12"
